vote_id,yes,no,abstain
c0a65614-5bbc-43c2-8f60-d7fd92f722fe,130,9,4
50c22383-69df-41d1-aec0-a9cf12e70088,0,139,0
6782e7e4-3456-43e9-a3d7-4b3decd9bb97,0,142,0
9ed9b203-1553-4fb1-af56-1f4bb0f99718,0,138,0
6c4c017e-b880-47ab-96ae-3dc855097195,144,0,0
7eb02adf-eee1-4aa0-aaf8-ba5b4bebe667,143,0,0
b82bd944-7a86-418b-9c39-e63c64debf1a,0,130,0
4d5d38b5-8129-4d31-8a8a-a21d3a74580e,137,2,0
e7945a24-f49c-4bd3-878f-0d0fb83ff1b2,0,139,0
904821fb-0cc3-4891-ba09-62565f3d2746,146,0,0
995b5005-4a1a-446a-b2b3-8cfa44e1a9bd,0,139,0
540593a6-c294-4cda-8e85-f6312f02e5af,0,141,0
fc8631f3-dbab-44fe-8ced-74fcb01f1a46,0,139,0
99df318f-1255-429c-8550-dae493e445ed,145,0,0
32cf0d61-76c0-4f87-9a55-da9116ecbc6e,142,2,2
abb8925e-26f8-4c8e-b920-f42e4eacaf6f,0,139,0
af4230d0-dc54-4bde-9e1c-441184639d7d,122,0,0
3494d34a-73d7-4ea0-a9df-8ff1f151a05f,122,0,0
6855af46-9559-40e5-86c9-d296973d79e3,0,121,0
5c261b6b-c104-44cc-b26a-dc0209e4e685,115,0,0
43b1543b-5846-47c9-a7c9-1462b2d00df5,136,0,0
191f9e5b-abad-4680-9f61-54ca8f0377c3,129,9,3
9830ebcf-d273-4513-a582-2d0c71bee8ac,0,140,0
fbc8b6ca-3633-4f92-9f08-636996f083a1,141,0,0
d25f2198-be9f-44f5-9bef-327c9b38eeb9,0,140,0
79c2acd8-6114-4d99-b887-22495ff56ac0,0,140,0
e3ee82a7-3be9-47de-935d-fcbd6ad45a3a,147,0,0
d6f4729b-1870-47e5-b294-dbe074e12bbf,0,144,0
41b16c78-6569-4d22-9ae5-1523885c7cb4,0,145,0
