vote_id,yes,no,abstain
0f637773-4432-4d69-b37f-d1921361f395,0,83,0
2f80672a-5187-4f61-adcb-b32a5232ed27,0,81,0
af33229b-066f-4f62-972a-c5265f70a72e,0,80,0
d3176afe-817b-4e53-90b3-1b7b8a5804af,68,10,5
655ca566-7ddb-49bf-bb7b-75a40f5a06f8,0,80,0
703f56a4-69a1-48ee-995e-678c8dfd6c58,0,79,0
f9e78a56-67d6-49d2-ba7f-666d21a71cd4,80,0,0
e511e348-ae74-4177-a60c-0eefdfc21b69,0,11,67
fec4815b-57b7-4e5a-9a0e-5fa7964945db,0,71,0
bdbed9de-d5c0-414c-8100-fe302535504c,2,3,54
602c6c48-4aab-464d-abf2-257f9c5d2fff,0,67,0
256c81be-029c-42ac-99ab-e107fa6694e5,0,66,0
26d635cc-5223-43d5-bffc-65c568e8c2d4,71,0,0
ba17b75e-7bc0-426c-937d-c5c410d243bf,80,0,0
2b343b86-4920-4db7-a1f2-4f0db100ab22,0,73,3
f334d926-4395-4174-a6be-2d17376b65a6,0,76,3
f20bf90f-f6d3-4d63-820f-2833da4fa43f,3,0,79
b455431f-749e-4bb4-ac86-e9a4d59011df,27,42,18
2d43fedb-ebdc-463b-9732-b76e59b7c0b5,19,55,13
508f39a0-3e59-455d-8bec-022178bd0ebf,4,83,0
eadd601b-3e8c-455c-927a-1d828e19b1d0,83,0,0
7c342634-4483-4fd8-bc75-964526c7633a,76,1,1
0d9905d4-a222-4620-8d22-c347f4edf4c2,1,77,0
6c9cf3f8-ca38-4552-a0fb-35210ea299ba,0,75,0
eae0a22d-49c1-4903-a13c-c45c515f22f5,0,80,0
1e3fec1a-0bb4-4489-bb9c-a974d823b711,79,1,0
48427f11-3688-4565-97ee-8b899fa92878,0,79,0
8c4e43cd-1cae-4683-a27e-cfd648aa8370,0,75,3
d4f6b524-5801-432e-b94f-53e2dd564f4f,77,0,1
d0871040-3feb-444b-9ca3-57bc857337cd,83,0,1
0dbf64d9-e0d3-4324-adb2-f069ab54c9af,79,0,4
b10bd051-291c-45ec-bdb0-f61363f422be,0,83,0
01b20463-3539-4413-8a0d-98cdbbcf333b,0,84,0
ad705005-2267-4604-bd8e-741c8840f38b,83,0,0
